Title,Price,Suburb,Address,City,Bedrooms,Bathrooms,Parking,Size,URL,Agent
,599000,Heuweloord,"1397 THE Junction At Forest Hill, 11 Silwer-eike Avenue",Gauteng,1.0,1.0,1.0,35 m²,https://www.property24.com/for-sale/heuweloord/centurion/gauteng/377/115597710?plId=2044754&plt=2&plsIds=2074589,
,629900,Ferndale,323 Surrey,Gauteng,1.0,1.0,1.0,36 m²,https://www.property24.com/for-sale/ferndale/randburg/gauteng/4406/116060258?plId=2048109&plt=3&plsIds=2077704,
,695000,Amberfield,125 Reddersburg Street,Gauteng,2.0,1.0,1.0,79 m²,https://www.property24.com/for-sale/amberfield/centurion/gauteng/579/115883962?plId=2046571&plt=3&plsIds=2076239,
1 Bedroom Apartment,680000,Ferndale,"178 Brushwood, 550 West Avenue",Gauteng,1.0,1.0,1.0,53 m²,https://www.property24.com/for-sale/ferndale/randburg/gauteng/4406/116059327?plId=2049154&plt=4,Estate Agency profile for Renprop Residential
1 Bedroom Apartment,475000,Ferndale,"33 456 Cypress, 4 Cypress Avenue",Gauteng,1.0,1.0,1.0,33 m²,https://www.property24.com/for-sale/ferndale/randburg/gauteng/4406/116027068?plId=2049156&plt=4,Estate Agency profile for Renprop Residential
2 Bedroom Apartment,475000,Windsor East,59 Viscounts Avenue,Gauteng,2.0,,2.0,115 m²,https://www.property24.com/for-sale/windsor-east/randburg/gauteng/4522/116064848,Estate Agency profile for Rawson Properties Northcliff
2 Bedroom Apartment,585000,Noordheuwel,356 Paardekraal Drive,Gauteng,2.0,1.0,2.0,64 m²,https://www.property24.com/for-sale/noordheuwel/krugersdorp/gauteng/940/116040308,
2 Bedroom Apartment,635000,Die Hoewes,"La Comores, 250 Jean Avenue",Gauteng,2.0,1.0,1.0,58 m²,https://www.property24.com/for-sale/die-hoewes/centurion/gauteng/433/115692727?plId=2027948&plt=4,Estate Agency profile for Outlook Properties
2 Bedroom Apartment,699000,Allen's Nek,,Gauteng,2.0,1.0,2.0,68 m²,https://www.property24.com/for-sale/allens-nek/roodepoort/gauteng/839/115965303?plId=2044423&plt=4,Estate Agency profile for Earth Zone Properties
2 Bedroom Apartment,560000,Sharonlea,667 Malibongwe Drive,Gauteng,2.0,1.0,1.0,44 m²,https://www.property24.com/for-sale/sharonlea/randburg/gauteng/4296/116038518,Estate Agency profile for Real Estate Services
2 Bedroom Apartment,670000,Randburg Central,313 Main Avenue,Gauteng,2.0,1.0,1.0,63 m²,https://www.property24.com/for-sale/randburg-central/randburg/gauteng/17773/116025073,Estate Agency profile for Real Estate Services
2 Bedroom House,519000,Honeypark,"8 Ss Honeygrove, 5 Colleen Road",Gauteng,2.0,1.0,1.0,17 013 m²,https://www.property24.com/for-sale/honeypark/roodepoort/gauteng/14262/116028336,Estate Agency profile for RE/MAX Masters - Bryanston
2 Bedroom Apartment,649000,Allen's Nek,"69 Panorama View, 877 Eiland Avenue",Gauteng,2.0,1.0,2.0,58 m²,https://www.property24.com/for-sale/allens-nek/roodepoort/gauteng/839/116028364,Estate Agency profile for RE/MAX Masters - Bryanston
1 Bedroom Apartment,699000,Ferndale,"5 456 Cypress, 456 Vale Avenue",Gauteng,1.0,1.0,1.0,36 m²,https://www.property24.com/for-sale/ferndale/randburg/gauteng/4406/116050954,Estate Agency profile for Vartrust Real Estate
2 Bedroom Apartment,699000,Allen's Nek,,Gauteng,2.0,1.0,2.0,68 m²,https://www.property24.com/for-sale/allens-nek/roodepoort/gauteng/839/115744563?plId=2044423&plt=4,Estate Agency profile for Earth Zone Properties
